datetime,medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,passenger_count,trip_time_in_secs,trip_distance,longitude,latitude,is_pickup
2013-01-03 21:27:11,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,162,0.7,-73.972054,40.755707,1
2013-01-03 21:29:53,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,162,0.7,-73.979614,40.746166,0
2013-01-03 21:31:25,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,426,2.4,-73.980896,40.744469,1
2013-01-03 21:38:31,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,426,2.4,-73.954712,40.769405,0
2013-01-03 21:39:25,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,325,1.3,-73.954346,40.770374,1
2013-01-03 21:44:51,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,325,1.3,-73.966522,40.757317,0
2013-01-03 21:51:07,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,421,1.7,-73.971016,40.754318,1
2013-01-03 21:58:09,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,421,1.7,-73.953758,40.770706,0
2013-01-03 23:23:49,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,4,1507,11.5,-73.862724,40.768887,1
2013-01-03 23:48:57,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,4,1507,11.5,-73.985016,40.759048,0
2013-01-03 23:55:59,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,473,2.5,-73.98268900000002,40.756947,1
2013-01-04 00:03:52,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,473,2.5,-73.973618,40.787148,0
2013-01-04 00:05:24,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,404,1.5,-73.973686,40.786926,1
2013-01-04 00:12:08,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,404,1.5,-73.986603,40.769947,0
2013-01-04 00:18:51,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,467,1.8,-73.983772,40.77058,1
2013-01-04 00:26:38,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,467,1.8,-73.96167,40.776863,0
2013-01-04 00:59:50,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,340,2.5,-73.967056,40.756474,1
2013-01-04 01:05:30,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,340,2.5,-73.987206,40.725281,0
2013-01-04 01:09:42,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,556,2.3,-73.980896,40.729561,1
2013-01-04 01:18:58,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,556,2.3,-73.97953000000003,40.754276,0
2013-01-04 01:21:20,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,429,2.5,0.0,0.0,1
2013-01-04 01:28:29,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,429,2.5,-73.982811,40.781696,0
2013-01-04 02:59:04,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,515,1.6,-73.98895300000002,40.727188,1
2013-01-04 03:07:40,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,515,1.6,-74.000404,40.742165,0
2013-01-04 19:33:27,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,941,7.4,-73.8853,40.773113,1
2013-01-04 19:49:08,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,941,7.4,-73.949348,40.772861,0
2013-01-04 19:50:28,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,1012,3.0,-73.949471,40.77232,1
2013-01-04 20:07:21,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,1012,3.0,-73.98622900000002,40.756191,0
2013-01-04 20:08:06,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,382,0.8,-73.986465,40.756191,1
2013-01-04 20:14:28,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,382,0.8,-74.00282299999998,40.760536,0
2013-01-04 20:15:26,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,1032,2.3,-74.002808,40.760551,1
2013-01-04 20:32:39,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,1032,2.3,-73.967712,40.756664,0
2013-01-04 20:34:20,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,687,4.9,-73.967979,40.755726,1
2013-01-04 20:45:47,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,2,687,4.9,-74.004646,40.70734,0
2013-01-04 20:47:24,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,547,2.8,-74.003403,40.708076,1
2013-01-04 20:56:31,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,547,2.8,-73.983582,40.725975,0
2013-01-04 20:58:08,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,3,402,0.7,-73.984726,40.726604,1
2013-01-04 21:04:51,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,3,402,0.7,-73.997688,40.729343,0
2013-01-04 21:13:44,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,604,2.7,-73.997574,40.721355,1
2013-01-04 21:23:49,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,1,604,2.7,-73.95015,40.708145,0
2013-01-04 22:16:31,BE530E79CB7E459DEF5BBDF2F319EDC1,0002555BBE359440D6CEB34B699D3932,CMT,1,N,3,1350,9.6,-73.874496,40.77402100000001,1
